Keyword,Layout,LoggingLibrary,ProjectInfo,SearchResult
FirebaseAnalytics,FirebaseAnalytics,Firebase,ivan-magda/Habito,['/ivan-magda/Habito/app/src/main/java/com/ivanmagda/habito/analytics/HabitoAnalytics.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,chteuchteu/Munin-for-Android,['/chteuchteu_Munin-for-Android/muninforAndroid/src/main/java/com/chteuchteu/munin/MuninFoo.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,OneSignal/OneSignal-Android-SDK ,"['/one-signal_OneSignal-Android-SDK/OneSignalSDK/unittest/src/test/java/com/onesignal/ShadowFirebaseAnalytics.java', '/one-signal_OneSignal-Android-SDK/OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignalRemoteParams.java', '/one-signal_OneSignal-Android-SDK/OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java', '/one-signal_OneSignal-Android-SDK/OneSignalSDK/onesignal/src/main/java/com/onesignal/TrackFirebaseAnalytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,FrogSquare/GodotFireBase,['/FrogSquare_GodotFireBase/android_src/Analytics.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,Microsoft/AppCenter-SDK-Android,"['/Microsoft_AppCenter-SDK-Android/sdk/appcenter-push/proguard-rules.pro', '/Microsoft_AppCenter-SDK-Android/sdk/appcenter-push/src/test/java/com/microsoft/appcenter/push/PushTest.java', '/Microsoft_AppCenter-SDK-Android/sdk/appcenter-push/src/main/java/com/microsoft/appcenter/push/FirebaseUtils.java', '/Microsoft_AppCenter-SDK-Android/sdk/appcenter-push/src/main/java/com/microsoft/appcenter/push/Push.java', '/Microsoft_AppCenter-SDK-Android/apps/sasquatch/src/main/java/com/microsoft/appcenter/sasquatch/activities/SettingsActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,MGaetan89/ShowsRage,"['/MGaetan89_ShowsRage/app/build.gradle.kts', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/activity/MainActivity.kt', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/fragment/ShowsFragment.kt', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/fragment/EpisodeDetailFragment.kt', '/MGaetan89_ShowsRage/buildSrc/src/main/kotlin/Dependencies.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,k0shk0sh/FastAccess,"['/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/provider/analytics/Analytics.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/App.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,TomTasche/OpenDocument.droid,"['/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java', '/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AnalyticsManager.java', '/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/background/FileLoader.java', '/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java', '/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,sajjadjaved01/iptv,['/sajjadjaved01_iptv/app/src/main/java/com/muparse/Login.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,openremote/openremote,['/openremote_openremote/console/iOS/ORLib/ORLib.xcodeproj/project.pbxproj']
FirebaseAnalytics,FirebaseAnalytics,Firebase,Adventech/sabbath-school-android,['/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/view/SSAboutActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,SoftwareEngineeringDaily/SEDaily-Android,"['/SoftwareEngineeringDaily_SEDaily-Android/app/src/main/java/com/koalatea/thehollidayinn/softwareengineeringdaily/auth/LoginRegisterActivity.java', '/SoftwareEngineeringDaily_SEDaily-Android/app/src/main/java/com/koalatea/thehollidayinn/softwareengineeringdaily/analytics/AnalyticsFacadeImpl.java', '/SoftwareEngineeringDaily_SEDaily-Android/app/src/main/java/com/koalatea/thehollidayinn/softwareengineeringdaily/analytics/AnalyticsModule.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,blockchain/My-Wallet-V3-Android,"['/blockchain_My-Wallet-V3-Android/notifications/src/test/java/com/blockchain/notifications/analytics/AnalyticsImplTest.kt', '/blockchain_My-Wallet-V3-Android/notifications/src/main/java/com/blockchain/notifications/koin/notificationModule.kt', '/blockchain_My-Wallet-V3-Android/notifications/src/main/java/com/blockchain/notifications/analytics/UserAnalyticsImpl.kt', '/blockchain_My-Wallet-V3-Android/notifications/src/main/java/com/blockchain/notifications/analytics/AnalyticsImpl.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,mozilla-tw/ScreenshotGo,['/mozilla-tw_ScreenshotGo/app/src/main/java/org/mozilla/scryer/telemetry/FirebaseEvent.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,mozilla-tw/FirefoxLite,"['/mozilla-tw_FirefoxLite/app/src/main/java/org/mozilla/focus/telemetry/FirebaseEvent.java', '/mozilla-tw_FirefoxLite/firebase/src/main/java/org/mozilla/focus/utils/FirebaseImp.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,shusain93/Andromeda-iMessage,"['/shusain93_Andromeda-iMessage/app/src/main/java/eu/aero2x/andromedab/ContactSelect.java', '/shusain93_Andromeda-iMessage/app/src/main/java/eu/aero2x/andromedab/Conversation.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,antest1/kcanotify,"['/antest1_kcanotify/app/src/main/java/com/antest1/kcanotify/KcaApplication.java', '/antest1_kcanotify/app/src/main/java/com/antest1/kcanotify/KcaUtils.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,wbaumann/SmartReceiptsLibrary,"['/wbaumann_SmartReceiptsLibrary/analytics/src/notFloss/java/co/smartreceipts/analytics/FirebaseAnalytics.java', '/wbaumann_SmartReceiptsLibrary/analytics/src/notFloss/java/co/smartreceipts/analytics/AnalyticsProvider.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,ayltai/Newspaper,['/ayltai_Newspaper/app/src/main/java/com/github/ayltai/newspaper/MainApplication.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,rcgroot/open-gpstracker-ng,['/rcgroot_open-gpstracker-ng/studio/base/src/main/java/nl/sogeti/android/gpstracker/ng/base/common/BaseGpsTrackerApplication.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,HabitRPG/habitica-android,"['/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/ui/fragments/AboutFragment.kt', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/ui/fragments/social/GuildFragment.kt', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/ui/fragments/social/NoPartyFragmentFragment.kt', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/ui/fragments/inventory/shops/ShopsFragment.kt', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/ui/activities/MainActivity.kt', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/ui/views/insufficientCurrency/InsufficientGemsDialog.kt', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/HabiticaPurchaseVerifier.java', '/HabitRPG_habitica-android/Habitica/src/main/java/com/habitrpg/android/habitica/HabiticaBaseApplication.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,Phantast/smartnavi,"['/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/fragments/RatingFragment.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/fragments/TutorialFragment.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/Info.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/Webview.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/BackgroundService.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/Settings.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/GoogleMap.java', '/Phantast_smartnavi/smartnaviapp/src/main/java/com/ilm/sandwich/Splashscreen.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,DreierF/MyTargets,"['/DreierF_MyTargets/app/src/main/java/de/dreier/mytargets/base/fragments/EditableListFragmentBase.kt', '/DreierF_MyTargets/app/src/main/java/de/dreier/mytargets/base/activities/ChildActivityBase.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,malmstein/yahnac,"['/malmstein_yahnac/app/src/main/java/com/malmstein/yahnac/injection/DefaultDependenciesFactory.java', '/malmstein_yahnac/app/src/main/java/com/malmstein/yahnac/analytics/FirebaseAnalytics.java', '/malmstein_yahnac/app/src/main/java/com/malmstein/yahnac/analytics/UsageAnalytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,chinhodado/ygodb,['/chinhodado_ygodb/ygodb-module/src/main/java/com/chin/ygodb/activity/CardDetailActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,jeisfeld/Augendiagnose,['/jeisfeld_Augendiagnose/AugendiagnoseIdea/augendiagnoseLib/src/main/java/de/jeisfeld/augendiagnoselib/util/TrackingUtil.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,Bridouille/android-beacon-scanner,"['/Bridouille_android-beacon-scanner/app/src/main/java/com/bridou_n/beaconscanner/dagger/AnalyticsModule.kt', '/Bridouille_android-beacon-scanner/app/src/main/java/com/bridou_n/beaconscanner/features/settings/SettingsActivity.kt', '/Bridouille_android-beacon-scanner/app/src/main/java/com/bridou_n/beaconscanner/features/beaconList/BeaconListActivity.kt', '/Bridouille_android-beacon-scanner/app/src/main/java/com/bridou_n/beaconscanner/utils/extensionFunctions/FirebaseAnalytics.kt', '/Bridouille_android-beacon-scanner/app/src/main/java/com/bridou_n/beaconscanner/AppSingleton.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,marcovann/Firebase-Chat-Demo,"['/marcovann_Firebase-Chat-Demo/app/src/main/java/com/myprojects/marco/firechat/navigation/AndroidMainNavigator.java', '/marcovann_Firebase-Chat-Demo/app/src/main/java/com/myprojects/marco/firechat/Dependencies.java', '/marcovann_Firebase-Chat-Demo/app/src/main/java/com/myprojects/marco/firechat/analytics/FirebaseAnalyticsAnalytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,google/iosched,['/google_iosched/mobile/src/main/java/com/google/samples/apps/iosched/util/FirebaseAnalyticsHelper.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,tasomaniac/OpenLinkWith,"['/tasomaniac_OpenLinkWith/app/src/play/java/com/tasomaniac/openwith/FirebaseAnalytics.kt', '/tasomaniac_OpenLinkWith/app/src/play/java/com/tasomaniac/openwith/AnalyticsModule.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,bookdash/bookdash-android-app,"['/bookdash_bookdash-android-app/app/src/prod/java/org/bookdash/android/Injection.java', '/bookdash_bookdash-android-app/app/src/qa/java/org/bookdash/android/Injection.java', '/bookdash_bookdash-android-app/app/src/main/java/org/bookdash/android/BookDashApplication.java', '/bookdash_bookdash-android-app/app/src/main/java/org/bookdash/android/data/tracking/BookDashFirebaseAnalytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,wcomartin/PlexPy-Remote,['/wcomartin_PlexPy-Remote/PlexPy Remote/src/main/java/com/williamcomartin/plexpyremote/AppBaseActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,DSteve595/Put.io,['/DSteve595_Put.io/app/src/main/java/com/stevenschoen/putionew/Analytics.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,NasaGeek/utexas-utilities,"['/NasaGeek_utexas-utilities/app/src/main/java/com/nasageek/utexasutilities/fragments/UTilitiesPreferenceFragment.java', '/NasaGeek_utexas-utilities/app/src/main/java/com/nasageek/utexasutilities/activities/BaseActivity.java', '/NasaGeek_utexas-utilities/app/src/main/java/com/nasageek/utexasutilities/AnalyticsHandler.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,vpaliy/Melophile,['/vpaliyX_Melophile/app/src/main/java/com/vpaliy/melophile/ui/auth/AuthActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,NineWorlds/serenity-android,"['/NineWorlds_serenity-android/serenity-app/src/test/java/us/nineworlds/serenity/TestSerenityApplication.java', '/NineWorlds_serenity-android/serenity-app/src/main/java/us/nineworlds/serenity/ui/activity/SerenityActivity.java', '/NineWorlds_serenity-android/serenity-app/src/main/java/us/nineworlds/serenity/SerenityApplication.java', '/NineWorlds_serenity-android/serenity-app/src/main/kotlin/us/nineworlds/serenity/ui/activity/ServerSelectionActivity.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,firebase/quickstart-android,"['/firebase_quickstart-android/inappmessaging/app/src/main/java/com/google/firebase/fiamquickstart/java/MainActivity.java', '/firebase_quickstart-android/inappmessaging/app/src/main/java/com/google/firebase/fiamquickstart/kotlin/KotlinMainActivity.kt', '/firebase_quickstart-android/analytics/app/src/main/java/com/google/firebase/quickstart/analytics/java/MainActivity.java', '/firebase_quickstart-android/analytics/app/src/main/java/com/google/firebase/quickstart/analytics/kotlin/MainActivity.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,react-native-community/react-native-camera,['/react-native-community_react-native-camera/examples/mlkit/ios/Podfile.lock']
FirebaseAnalytics,FirebaseAnalytics,Firebase,mopsalarm/Pr0,['/mopsalarm_Pr0/app/src/main/java/com/pr0gramm/app/services/Track.kt']
FirebaseAnalytics,FirebaseAnalytics,Firebase,romannurik/muzei,"['/romannurik_muzei/wearable/src/main/java/com/google/android/apps/muzei/complications/ArtworkComplicationProviderService.kt', '/romannurik_muzei/wearable/src/main/java/com/google/android/apps/muzei/MuzeiCommandItem.kt', '/romannurik_muzei/wearable/src/main/java/com/google/android/apps/muzei/ChooseProviderActivity.kt', '/romannurik_muzei/legacy-standalone/src/main/java/com/google/android/apps/muzei/legacy/SourceSettingsActivity.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/PhotoSetAsTargetActivity.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/NextArtworkActivity.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/widget/MuzeiAppWidgetProvider.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/ArtDetailFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/ChooseProviderFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/legacy/LegacySourceInfoFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/TutorialFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/MuzeiWallpaperService.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/quicksettings/NextArtworkTileService.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/ArtworkInfoRedirectActivity.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/MuzeiActivity.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/browse/BrowseProviderFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/IntroFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/AutoAdvanceFragment.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/notifications/NewWallpaperNotificationReceiver.kt', '/romannurik_muzei/main/src/main/java/com/google/android/apps/muzei/tasker/TaskerActionReceiver.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,firebase/analytics-webview,"['/firebase_analytics-webview/ios/swift/FirebaseAnalyticsWeb/ViewController.swift', '/firebase_analytics-webview/ios/swift/FirebaseAnalyticsWeb/AppDelegate.swift', '/firebase_analytics-webview/ios/objc/FirebaseAnalyticsWeb/ViewController.m', '/firebase_analytics-webview/ios/objc/FirebaseAnalyticsWeb/AppDelegate.m', '/firebase_analytics-webview/android/app/src/main/java/com/google/firebase/quickstart/analytics/webview/AnalyticsWebInterface.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,squanchy-dev/squanchy-android,"['/squanchy-dev_squanchy-android/app/src/main/java/net/squanchy/analytics/EnabledAnalytics.kt', '/squanchy-dev_squanchy-android/app/src/main/java/net/squanchy/analytics/AnalyticsModule.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,evercam/evercam-android,"['/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/video/VideoActivity.java', '/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/tasks/AddCameraTask.java', '/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/SignUpActivity.java', '/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/CamerasActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,foobnix/LibreraReader,"['/foobnix_LibreraReader/app/src/main/java/org/ebookdroid/ui/viewer/VerticalViewActivity.java', '/foobnix_LibreraReader/app/src/main/java/com/foobnix/ui2/MainTabs2.java', '/foobnix_LibreraReader/app/src/main/java/com/foobnix/pdf/search/activity/HorizontalViewActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,freshplanet/ANE-Push-Notification,"['/freshplanet_ANE-Push-Notification/ios/AirPushNotification.xcodeproj/project.pbxproj', '/freshplanet_ANE-Push-Notification/ios/AirPushNotification/AirPushNotification.m', '/freshplanet_ANE-Push-Notification/ios/Pods/Pods.xcodeproj/project.pbxproj', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification-acknowledgements.plist', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification-acknowledgements.markdown', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification.release.xcconfig', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification.debug.xcconfig', '/freshplanet_ANE-Push-Notification/ios/Pods/Manifest.lock', '/freshplanet_ANE-Push-Notification/ios/Podfile.lock', '/freshplanet_ANE-Push-Notification/build/platform-ios.xml']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,jeffdcamp/android-template,"['/jeffdcamp_android-template/app/src/main/kotlin/org/jdc/template/inject/AppModule.kt', '/jeffdcamp_android-template/app/src/main/kotlin/org/jdc/template/Analytics.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,lolevsky/Android-Clean-Architecture,"['/lolevsky_Android-Clean-Architecture/data/src/main/java/me/lolevsky/nasaplanetary/data/tracking/Tracking.java', '/lolevsky_Android-Clean-Architecture/presentation/src/main/java/me/lolevsky/nasaplanetary/di/DataModule.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,BreadKid/SearchItem,['/BreadKid_SearchItem/app/src/main/java/com/breadykid/searchitem/MainActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,oasisfeng/island,"['/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/AnalyticsImpl.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/Analytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,futurice/freesound-android,"['/futurice_freesound-android/app/src/main/java/com/futurice/freesound/feature/analytics/FirebaseAnalytics.kt', '/futurice_freesound-android/app/src/main/java/com/futurice/freesound/feature/analytics/AnalyticsModule.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,traccar/traccar-manager-android,['/traccar_traccar-manager-android/app/src/google/java/org/traccar/manager/GoogleMainApplication.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,ItsCalebJones/SpaceLaunchNow-Android,"['/ItsCalebJones_SpaceLaunchNow-Android/versions.gradle', '/ItsCalebJones_SpaceLaunchNow-Android/common/build.gradle', '/ItsCalebJones_SpaceLaunchNow-Android/common/src/main/java/me/calebjones/spacelaunchnow/common/ui/supporter/SupporterActivity.java', '/ItsCalebJones_SpaceLaunchNow-Android/common/src/main/java/me/calebjones/spacelaunchnow/common/base/BaseFragment.java', '/ItsCalebJones_SpaceLaunchNow-Android/common/src/main/java/me/calebjones/spacelaunchnow/common/base/BaseActivity.kt', '/ItsCalebJones_SpaceLaunchNow-Android/mobile/build.gradle', '/ItsCalebJones_SpaceLaunchNow-Android/mobile/src/main/java/me/calebjones/spacelaunchnow/ui/main/MainActivity.java', '/ItsCalebJones_SpaceLaunchNow-Android/mobile/src/main/java/me/calebjones/spacelaunchnow/utils/analytics/Analytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,FirebaseExtended/custom-auth-samples,['/FirebaseExtended_custom-auth-samples/Line/iOS/LINELoginDemo/Podfile.lock']
FirebaseAnalytics,FirebaseAnalytics,Firebase,Jigsaw-Code/intra,['/Jigsaw-Code_intra/Android/app/src/main/java/app/intra/sys/firebase/AnalyticsWrapper.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,andyb129/FlipsideCamera,['/andyb129_FlipsideCamera/app/src/main/java/com/sixteenplusfour/android/flipsidecamera/ui/MainActivity.java']
